match_id,event_idx,attacker_id,defender_id,duration_s,n_frames,tau_d,f_d,theta_d_deg,fit_error,d_start,d_end,d_mean,d_min,d_max
J03WPY,73,DFL-OBJ-002G78,DFL-OBJ-J01KJ5,1.56,40,0.6659279752547624,10.090940133153143,-64.07373451893162,0.20008526037751972,3.352261239048368,0.8621620227613194,1.6797592341275784,0.7672061970605704,3.352261239048368
J03WPY,74,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,2.88,73,20.0,3.362804300472617,178.64888607494,6.165511505553653,9.223119521107995,2.3657477337859736,3.4030065140988732,0.7884072313006022,9.223119521107995
J03WPY,75,DFL-OBJ-0000F8,DFL-OBJ-002G68,1.96,50,1.9102825309220786,4.754810558757453,44.802182319733845,2.8661325712640564,3.8310396552241146,1.1980562829443815,2.2740787343901347,1.1980562829443815,3.8341332332917473
J03WPY,76,DFL-OBJ-J01CP5,DFL-OBJ-002GG4,1.72,44,0.3956685259279858,20.0,64.20079625534537,0.14101694302226303,3.617712788745813,1.3014681555138319,2.4554480755718644,1.3014681555138319,3.617712788745813
J03WPY,77,DFL-OBJ-002FXT,DFL-OBJ-00008F,2.04,52,2.2857556098634313,3.7543655372563336,-180.0,0.8672369178195619,2.0723202741549356,0.8822373606805087,0.910898435054248,0.502535944867256,2.0723202741549356
J03WPY,78,DFL-OBJ-002GM9,DFL-OBJ-002G78,1.8800000000000001,48,18.865678008551463,2.5913013983077353,-86.32572349876516,0.2673655285677269,8.570644270633384,2.6984834833888165,5.0566706806013855,2.6984834833888165,8.570644270633384
J03WPY,79,DFL-OBJ-J01KJ5,DFL-OBJ-0028T3,4.48,113,0.43250775554754295,20.0,8.328816647665034,6.9394955239240375,8.322622905131364,2.15702074406725,2.537083996998735,1.148363799593594,8.322622905131364
J03WPY,80,DFL-OBJ-0026IA,DFL-OBJ-002GM1,2.68,68,0.7757836718056992,9.316014318226761,21.077965024944568,0.7513591273558142,7.075222880100184,1.758357233998588,3.7887996738284784,1.7461507775115144,7.075222880100184
J03WPY,81,DFL-OBJ-0000NZ,DFL-OBJ-002G78,3.44,87,20.0,1.2218410389734835,-110.94868455523937,2.378632663022801,12.340952565187289,2.6669540348364875,7.581994782788498,2.6669540348364875,12.340952565187289
J03WPY,82,DFL-OBJ-0000NZ,DFL-OBJ-00286U,1.84,47,19.947266013703288,2.50292036069895,-137.28377863112925,2.0572546460564833,7.192494588747295,1.3374260569833185,3.3818066220566507,1.3374260569833185,7.192494588747295
J03WPY,83,DFL-OBJ-00028V,DFL-OBJ-0028T3,1.8,46,0.25769449596795896,20.0,-78.09977936963298,0.4329415495174616,4.053526893073981,3.0123064007934492,3.614490486459313,3.0123064007934492,4.053526893073981
J03WPY,84,DFL-OBJ-J01KJ5,DFL-OBJ-0001BX,1.72,44,1.1934503950948065,8.003878881109276,64.72697351872546,0.5601338711138915,1.81598291663805,2.751431254097194,2.9876871597876926,1.81598291663805,3.7174926103668966
J03WPY,85,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,2.2,56,4.226540193965756,3.7488086686179565,-98.45245351718032,0.8402394700524646,11.482562025112676,5.6480848632006015,7.357488213976073,5.516686859867566,11.482562025112676
J03WPY,86,DFL-OBJ-002GM9,DFL-OBJ-00286U,1.76,45,0.6127927002520184,7.725580856855142,73.49704110815046,0.33762397858531984,14.836055127169336,10.599500992081092,12.76392376143484,10.599500992081092,14.836055127169336
J03WPY,87,DFL-OBJ-0000NZ,DFL-OBJ-002G78,2.12,54,20.0,1.1860553710217934,-106.74046972500932,0.8086943015067424,14.487627210824988,3.3289173354112904,8.742136960219927,3.3289173354112904,14.487627210824988
J03WPY,88,DFL-OBJ-002FXT,DFL-OBJ-J01K2L,1.72,44,2.298169267594915,6.202383387727883,-46.63374084512344,0.48763709794853755,2.4881667713211675,0.5511841232379057,1.4268814177128688,0.5511841232379057,2.4881667713211675
J03WPY,89,DFL-OBJ-002GMO,DFL-OBJ-00286U,2.0,51,1.0382541548166793,7.205327691428815,-60.153852772835194,0.18338762271338105,11.125616910370434,3.8081651363208566,7.6752327602249855,3.8081651363208566,11.125616910370434
J03WPY,90,DFL-OBJ-J01KJ5,DFL-OBJ-0028T3,2.2800000000000002,58,20.0,3.2252381944052964,-113.90956376776691,2.295724953096369,8.625481032539081,0.9396465979266757,4.0361980626423595,0.9396465979266757,8.625481032539081
J03WPY,91,DFL-OBJ-0026IA,DFL-OBJ-002GM1,7.0,176,1.6951330056769445,3.538969258499454,43.098571267207525,3.5622336785164763,4.795911161265099,0.8507412072503346,1.39853640219387,0.4444352227622876,4.795911161265099
J03WPY,92,DFL-OBJ-002FXT,DFL-OBJ-0026IA,1.76,45,0.3305268911004199,20.0,-54.5192303904066,1.2511046175607332,7.805740040717221,4.137158751404971,5.728412114638648,4.137158751404971,7.805740040717221
J03WPY,93,DFL-OBJ-002FXT,DFL-OBJ-0026IA,2.16,55,0.2490536223939628,18.781640063164403,-45.74390880782961,1.5073221054209809,10.051302337928396,2.4949990940143474,6.694928484374102,2.4949990940143474,10.051302337928396
J03WPY,94,DFL-OBJ-J01KJ5,DFL-OBJ-002G78,5.36,135,0.289644915212783,20.0,23.530107963356592,9.32417972154039,7.228390374553427,2.359716634187515,3.065811672025605,1.6391268074000334,7.228390374553427
J03WMX,0,DFL-OBJ-0002F5,DFL-OBJ-0028BD,2.56,65,2.0496488228553744,5.828218811473557,42.32178935914537,1.9171554161946154,7.744013776528575,2.4070173346470143,3.9481145378780385,2.354413599913988,7.744013776528575
J03WMX,1,DFL-OBJ-0027KL,DFL-OBJ-000270,1.84,47,11.405375016420907,2.4483234046720685,-70.4285535734585,0.5924788538465641,13.220695558493304,4.52020283032626,8.822332270186449,4.52020283032626,13.220695558493304
J03WMX,2,DFL-OBJ-0027AX,DFL-OBJ-0002F5,1.76,45,14.714311724535706,3.2441074610399716,-76.56806343236953,0.48916334849621085,2.515689162351703,0.323643604705643,1.4837547390668804,0.323643604705643,2.515689162351703
J03WMX,3,DFL-OBJ-0002F5,DFL-OBJ-000270,1.56,40,14.908822240559918,1.4503980078692575,-47.43806441553601,0.20552940507765471,5.118739569461175,3.104968803244148,3.539530109785244,3.0663672279235543,5.118739569461175
J03WMX,4,DFL-OBJ-0028BD,DFL-OBJ-0027G0,2.08,53,0.3768438178499702,11.278401476861257,180.0,0.498250342801301,5.210608262562573,5.226681025051213,5.212825419964433,5.137669072440958,5.264861369992983
J03WMX,5,DFL-OBJ-J017RE,DFL-OBJ-000270,1.8,46,1.0672626640011222,4.662919901218195,-9.434313667519179,0.9491853420327203,8.929088003628692,8.778354118492947,8.800667741783673,8.594405231541819,9.044133852902805
J03WMX,6,DFL-OBJ-0027B6,DFL-OBJ-0027G6,1.6,41,0.35474653171434173,20.0,-50.41528797956068,0.16167961875973583,8.33948481348991,2.5081204514404805,4.906729557069222,2.5081204514404805,8.33948481348991
J03WMX,7,DFL-OBJ-J01APO,DFL-OBJ-J01BGM,2.32,59,20.0,2.7258981100985906,-89.23777035653399,1.1980680516197957,15.436320043457417,5.527079092220221,10.11524805473086,5.527079092220221,15.436320043457417
J03WMX,8,DFL-OBJ-J01APO,DFL-OBJ-J01BGM,3.36,85,6.259200686148448,2.112160291867396,55.86629805051844,0.8704990399852929,12.965796653411806,1.7518700423087552,7.4338953868409545,1.7518700423087552,12.965796653411806
J03WMX,9,DFL-OBJ-J01BGM,DFL-OBJ-J01APO,1.72,44,0.7233659229093968,7.151845051852391,51.99366295438615,0.23879370485768572,1.2105338346322125,0.7929941840388948,0.7492117797428168,0.48999716344550026,1.2105338346322125
J03WMX,10,DFL-OBJ-0027B6,DFL-OBJ-0027G6,3.08,78,0.23858058340096389,20.0,-54.316505312343914,0.9231004715628934,18.560411230485883,11.48349028397303,15.579481294845927,11.48349028397303,18.560411230485883
J03WMX,11,DFL-OBJ-0027B6,DFL-OBJ-0027G6,2.72,69,0.9729865938088605,6.160236863800668,-11.589969300748864,2.1545391088607264,11.490155173630923,3.5149134583466397,5.814248464627218,3.15511743648354,11.490155173630923
